Artist,Title,Lyrics
Wanda Jackson,Swinging Doors,"This ol' smoke filled bar is something I'm not used to  
But I gave up my home to see you satisfied  
I just called to let you know where I'll be livin'  
It's not much but I feel welcome here inside  
I've got swinging doors a jukebox and a bar stool  
And my new home has a flashing neon sign  
Stop by and see me anytime you want to  
Cause I'm always here at home till closin' time  
  
I've got everything I need to drive me crazy  
And I've got everything it takes to lose my mind  
And in here the atmosphere's just right for heartaches  
Thanks to you I'm always here till closin' time  
And I've got swinging doors  
Cause I'm always here at home till closin' time

"
Kinks,In A Foreign Land,"It was a matter of fact that when I paid all my tax  
I held my world in the palm of my hand  
And all of my debts were causing me to defect  
To a land of bananas and sand  
So I ran, yes I ran, yes I ran to a foreign land  
Here I am, here I am  
Here I am in a foreign land  
  
I'm so glad we made it  
I thought we'd never land  
I grabbed all my cash  
And decided to dash far away  
Far away, far away to a foreign land  
Here I am, here I am, here I am in a foreign land  
  
Goodbye to all of the rich man's daughters  
Goodbye to my debts now I'm 'way cross the water  
Far away, far away in a foreign land  
Here I am, here I am here I am in a foreign land  
  
La la la la la la  
La la la la la la  
  
Please tell my mother and all my ex-lovers  
That I've finally made the grade  
  
Please tell my debtors and the money collectors  
That all of my bills will be paid some day  
I'm away, I'm away, far away in a foreign land  
  
Goodbye champagne and caviar set  
I want to slum and drink all the rum I can get  
I'm away, I'm away in a foreign land  
Here I am, here I am, here I am in a foreign land  
But I'm all out of my jack and I can't go back  
I'm away, far away, far away in a foreign land  
  
La la la la la la  
La la la la la la

"
Yo Gotti,F-U,"Fuck you  
Fuck you  
Fuck you  
Fuck you  
Tell a hater I just said  
Fuck you  
Fuck you  
Fuck you  
Fuck you  
And tell your bitch I just said  
  
Meek  
Ass up, face down  
One night only, I'm from out of town  
Pound, new rules we ain't waiting on it  
And if that pussy good we spend a cake on it  
Patty cake, hotel, new bed, new Chanel  
Giuseppe sneakers, his or hers  
If you a hater I just got two words  
  
Fuck you  
Fuck you  
Fuck you  
Fuck you  
Tell a hater I just said  
Fuck you  
Fuck you  
Fuck you  
Fuck you  
And tell your bitch I just said  
  
You, and the bitches that you came with  
All in my section drinking my shit  
You ain't fucking, you ain't sucking what you doing ho?  
Instagram and taking pictures, but you don't know me though  
Damn, she said that she a fan  
Yea I understand, but I want to get in her pants  
'Cause she looking for, she licking her tongue out  
She said she don't fuck with rappers  
I'm like what you talking about bitch?  
  
Fuck you  
Fuck you  
Fuck you  
Fuck you  
I got two words for you  
Fuck you  
Fuck you  
Fuck you  
Fuck you  
Tell my hater I said  
  
Oh, I said fuck 'em  
I don't like 'em, I don't love 'em  
When the money come home  
It's turning haters, I don't trust 'em  
If the brick ain't coming with a stick, I don't touch 'em  
Want that BMF with the Scorpio when I'm bustin'  
Like a bitch when she twerkin', y'all niggas workin'  
Clowin' ass niggas, we should put you in the circus  
In the cage with the lion, let him have you for dessert  
And testifying on your homie, took a dip, but was it worth it nigga?  
I'm in this bitch, she said my friend she want to fuck you  
I like your friend, but I really you know, I wanna fuck you  
And if I hit my rody he got to fuck too  
And put your middle fingers up and scream  
  
Haters, niggas mad at the paper  
Big crib, 10 car, 20 acres  
20 chains, 10 watches on my jewels  
Little watch with the chips, don't let 'em fool  
Nigga I can school you on how to look like money  
Hustla of the year, can write a book about money  
Don't pop them bottles, tryna impress them ho's  
With your re-up money, better tell dem ho's bitch  
  
Fuck you  
Fuck you  
Fuck you  
Fuck you  
Tell a bitch I said  
Fuck you  
Fuck you  
Fuck you  
Fuck you  
Tell my hater I said

"
Chris Rea,I Can Hear Your Heartbeat,"In the silence of the side street  
In the whisper of the night  
From the darkness of the empty hours  
To the early morning light  
From the hustle down on main street  
With all it's lights so bright  
To the trucker on the highway  
Pressing through the night  
  
I can hear you heartbeat  
I can hear you heartbeat  
Girl, the sound of you is so sweet  
To me  
  
And I'm sailing on your wind song  
Oh, I can feel the summer breeze  
You've got me walking on my tiptoes  
You've got me standing on my knees  
From the mills way down in Pittsburgh  
To the clubs of gay Paris  
Ah, no matter where I roam, girl,  
You can always get to me (Yeah)  
  
I can hear you heartbeat  
Yeah, I can hear you heartbeat  
Girl, the sound of you is so sweet  
To me  
  
We got freezing Coca-Cola  
We got anything you want  
I moving on that back beat  
Girl, but it's you that sings the song  
  
'Cause I can hear you heartbeat  
I can hear you heartbeat  
The sound of you is so sweet  
To me  
  
Oh I still hear your heartbeat  
Yea I still hear your heartbeat  
Girl, the sound of you is so sweet,  
to me

"
Andy Williams,What Now My Love,"What now, my love  
Now that you've left me  
How can I live  
Through another day  
Watching my dreams  
Turn into ashes  
And my hopes  
Into bits of clay  
Once I could see  
Once I could feel  
Now I am numb  
I've become unreal  
I walk the night  
Oh without a goal  
Stripped of my heart  
And my soul  
What now, my love  
Now that it's over  
I feel the world  
Closing in on me  
Here come the stars  
Tumbling around me  
And there's the sky  
Where the sea should be  
What now, my love  
Now that you're gone  
I'd be a fool  
To go on and on  
No one would care  
No one would cry  
If I should live  
If I should die  
What now, my love  
Now there is nothing  
Only my last goodbye  
Only my last  
My last goodbye

"
Maroon 5,Happy Xmas (War Is Over),"So this is Christmas  
And what have you done  
Another year over  
And a new one just begun  
  
And so this is Christmas  
I hope you have fun  
The near and the dear ones  
The old and the young  
  
A very Merry Christmas  
And a Happy New Year  
Let's hope it's a good one  
Without any fear  
  
And so this is Christmas  
For weak and for strong  
The rich and the poor ones  
The world is so wrong  
  
And so Happy Christmas  
For black and for white  
For yellow and red ones  
Let's stop all the fight  
  
A very Merry Christmas  
And a Happy New Year  
Let's hope it's a good one  
Without any fear  
  
And so this is Christmas  
And what have we done  
Another year over  
A new one just begun  
  
And so Happy Christmas  
We hope you have fun  
The near and the dear ones  
The old and the young  
  
A very Merry Christmas  
And a Happy New Year  
Let's hope it's a good one  
Without any fear  
  
War is over  
If you want it  
War is over now

"
Tim Buckley,Tijuana Moon,"They told me all the hymns were born  
Out of the saxophone,  
And I went down to test them all  
Beneath the Tijuana moon,  
I saw violence in the moon  
Two broken lovers strong and strewn,  
I drank myself into a dream:  
  
Tijuana moon,  
My daddy Tijuana moon,  
Oh my darlin',  
Tijuana moon Lord my daddy  
Tijuana moon  
  
You can keep the Texas blues,  
Tequila and the burning stone,  
But my amigo  
Nothin's good against the Tijuana moon  
  
Talk about daddy Tijuana moon  
Talk about lovin' Tijuana moon  
Talk about daddy Tijuana moon

"
David Bowie,Almost Grown,"Yeah 'n' I'm doin' all right in school  
They ain't said I broke no rule  
I ain't never been in Dutch  
I don't browse around too much  
Don't bother me, leave me alone  
Anyway I'm almost grown  
I don't run around with no mob  
Got myself a little job  
I'm gonna buy me a little car  
Drive my girl in the park  
Got my eye on a little girl  
Ah, she's really out of this world  
When I take her to the dance  
She's got to talk about romance  
You know I'm still livin' in town  
But I done married and settled down  
Now I really have a ball  
So I don't browse around at all  

"
James Taylor,Riding On A Railroad,"We are riding on a railroad, singing some else's song  
Forever standing by the cross road.  
Take a side and step along.  
We are sailing away on a river to the sea.  
Maybe you an me can meet again.  
We are riding on a railroad, singing someone else's song  
Sing along.  
Time to time I tire of the life that I've been leading  
Town to town, day by day  
There's a man up here who claims to have his hands upon the reins.  
There are chains upon his hands and he's riding upon a train.  
We are riding on a railroad, singing some else's song  
Forever standing by the cross road.  
Take a side and step along.  
We are sailing away on a river to the sea.  
Maybe you an me can meet again.  
We are riding on a railroad, singing someone else's song.  

"
Perry Como,Just One Way To Say I Love You,"I love you, I love you, there's no other way  
Just one way to say ""I love you""  
I love you, I love you, and, try as I may  
That's all I can say - ""I love you""  
  
Much more could be said if I thought with my head  
But I only can think with my heart  
I love you, I love you, and yearn for the day  
The day when you'll say ""I love you""  
  
There's no other way  
Just one way to say ""I love you""  
  
And, try as I may  
That's all I can say - ""I love you""  
  
Much more could be said if I thought with my head  
But I only can think with my heart  
I love you, I love you, and yearn for the day  
The day when you'll say ""I love you""

"
George Strait,Honk If You Honky Tonk,"Well, I got a bumper sticker  
On the back of my truck  
There ain't another like it  
'Cause I had it made up  
I can tell who's behind me  
They give themselves away  
Lay on their horn when they read this phrase  
  
[Chorus]  
Honk if you honky tonk  
Don't if you don't  
But, if you do  
Don't you love to  
Honk if you honky tonk  
  
Me and Friday night go hand in hand  
Ice cold beer and a swingin' band  
A girl on my arm that won't let go  
She caught my little sign about a mile ago  
  
[Chorus]  
  
Well, just the other day I was cruisin' through town  
Sheriff pulled me over, I thought I had it now  
I rolled down my window, he said with a grin  
""I want one of them stickers or I'm gonna run you in.""  
  
[Chorus: x2]  
  
Honk if you honky tonk  
  
I hear ya honkin', yeah  
I'm pullin' over,  
Let's honky tonk

"
Devo,Time Out For Fun,"Hello,  
  
This is devo  
We would like  
to say Things go both ways  
New ideas stupid moves  
Nightmares or dreams come true  
Mucho work minus play  
Tension mounts in a twisted face  
Dark clouds in the crystal ball  
Tension mounts in a foreign place  
The screw turns someone calls  
  
[Chorus: x2]  
Time out for fun!  
Time out for fun!  
  
So you're living under the gun  
Circumstances have you on the run  
A doctor frowns you feel bad  
Take this you've just been had!  
  
Don't you lose it now listen to us  
Everything's going to be all right  
Take a break take some time  
Everything's going to be all right  
Don't you lose it remember to take  
  
[Chorus]  
  
Don't you lose it now listen to us  
Everything's going to be all right  
Take a break take some time  
Everything's going to be all right  
Don't you lose it remember to take  
  
[Chorus: x2]  
  
So your life has just begun  
Somebody else is saying that it's done  
Nurses whisper others grin  
Something's funny at your expense again  
  
Don't you lose it now listen to us  
Everything's going to be all right  
Take a break take some time  
Everything's going to be all right  
Don't you lose it remember to take  
  
[Chorus]

"
Dream Theater,Lines In The Sand,"Sometimes  
For a moment of bliss  
In the passion  
We're craving  
There's a message we miss  
  
Sometimes when  
The spirit's left alone  
We must believe in something  
To find if we've grown  
  
Tragic reflex  
Shattered calm  
Static progress  
Senses gone  
Numb awareness  
Final psalm  
  
Swept away with the tide  
(Swept away with the tide)  
Through the holes in my hands  
(Through the holes in my hands)  
Crown of thorns at my side  
(Crown of thorns  
At my side ye ye yeah)  
Drawing lines in the sand  
  
Sometimes  
If you're perfectly still  
You can hear the virgin weeping  
For the savior of your will  
  
Sometimes  
Your castles in the air  
And the fantasies you're seeking  
Are the crosses you bear  
  
Sacred conflict  
Blessed prize  
Weeping crosses  
Stainless eyes  
Desperate addict  
Faith disguised  
  
Swept away with the tide  
(Swept away with the tide)  
Through the holes in my hands  
(Through the holes in my hands yeah)  
Crown of thorns at my side  
(Crown of thorns at my side)  
Drawing lines in the sand  
  
We fabricate our demons  
Invite them into our homes  
Have supper with the aliens  
And fight the war alone  
We conjure up our skeletons  
Enlist the den of thieves  
Frightened from our closets  
Then sewn upon our sleeves  
  
In the stream of consciousness  
There is a river crying  
Living comes much easier  
Once we admit  
We're dying  
  
Sometimes  
In the wreckage of our wake  
There's a bitterness we harbor  
And hate for hatred's sake  
  
Sometimes  
We dig an early grave  
And crucify our instincts  
For the hope we couldn't save  
  
Sometimes  
A view from sinless eyes  
Centers our perspective  
And pacifies our cries  
  
Sometimes  
The anguish we survive  
And the mysteries we nurture  
Are the fabrics of our lives  
  
Swept away with the tide  
(Swept away with tide yeeah)  
Through the holes in my hands  
(Through the holes  
Holes in my hands)  
Crown of thorns at my side  
(Crown of thorns at my side yeah)  
Drawing lines in the sand

"
Electric Light Orchestra,Need Her Love,"She gives me love that I could never hope to have,  
She tells me that she needs me,she tells me that she's glad,  
And if she goes away, I'm like someone who's left out in the rain,  
I need, I need her, I need her love.  
  
She came in from the west, a summer breeze I couldn't rest,  
I had to take a fast train, to be there by her side,  
She made me feel so good, she made it like it should be all the time  
I need, I need her, I need her love.  
  
Just when I was thinkin' of her, she came along and made me  
want her. I need her love, I need her love, I need her love.  
  
If she goes away, I'm like someone who's left out in the rain,  
I need, I need her, I need her love.  
  
The boats that sail, the planes that fly,she is with me.  
I wonder if she wonders, if this is all for real,  
I couldn't stand to see her cry because of me, that would be sad.  
I need, I need her, I need her love.  
  
She tells me everything, she makes me smile, she tries to sing,  
But never shares her suffering, if things are going wrong,  
She makes it like a dream, if things are as they seem the  
world is good. I need her love, I need her love, I need her love.  

"
Allman Brothers Band,Blue Sky,"Walk along the river, sweet lullaby, it just keeps on flowing,  
It don't worry 'bout where it's going, no, no.  
Don't fly, mister blue bird, I'm just walking down the road,  
Early morning sunshine tell me all I need to know  
  
[Chorus]  
You're my blue sky, you're my sunny day.  
Lord, you know it makes me high when you turn your love my way,  
Turn your love my way, yeah.  
  
Good old Sunday morning, bells are ringing everywhere.  
Goin' to Carolina, it won't be long and I'll be there  
  
[Chorus]

"
Kris Kristofferson,Michoacan,"Woke up this morning the border was burning my mind  
Things that I seen that I couldn't be leaving behind me  
Down in this hole in the ground there ain't nothing to see  
But down in Michoacan, paradise waits for me  
  
North of the border the bodies are bought and they're sold, boy  
Me and a brother was caught turning green into gold  
I'm gonna pay for my crime 'til the day that I'm free  
But down in Michoacan, paradise waits for me  
  
A rusty car rode across the border, I was inside  
I had two dogs, my red guitar and my teenage bride  
We took a look at a shot in the dark and we found a home  
Where the flowers bloom in Michoacan  
  
A rusty car rode across the border, I was inside  
I had two dogs, my red guitar and my teenage bride  
I'm gonna clean up my act and go back to where I belong  
Where the flowers bloom in Michoacan

"
One Direction,Tell Me A Lie,"Can't ever get it right  
No matter how hard I try  
And I've tried  
Well I put up a good fight  
But your words cut like knives  
And I'm tired  
As you break my heart again this time  
  
Tell me I'm a screwed up mess  
That I never listen, listen  
Tell me you don't want my kiss  
That you need your distance, distance  
Tell me anything but don't you say he's what you're missing baby  
If he's the reason that you're leaving me tonight  
Spare me what you think and  
Tell me a lie  
  
Well you're the charming type  
That little twinkle in your eye  
Gets me every time  
And well there must have been a time  
I was the reason for that smile  
Keep in mind  
As you take what's left of you and I  
  
Tell me I'm a screwed up mess  
That I never listen, listen  
Tell me you don't want my kiss  
That you need your distance, distance  
Tell me anything but don't you say he's what you're missing baby  
If he's the reason you're leaving me tonight  
Spare me what you think and  
Tell me a lie  
  
Tell me a lie  
Tell me a lie  
Tell me a lie  
  
Tell me I'm a screwed up mess  
That I never listen, listen  
Tell me you don't want my kiss  
That you need your distance, distance  
Tell me anything but don't you say he's what you're missing baby  
If he's the reason you're leaving me tonight  
Spare me what you think and  
Tell me a lie  
  
Tell me a lie  
Tell me a lie  
Tell me a lie  
  
Tell me a lie

"
Starship,Nothing's Gonna Stop Us Now,"Looking in your eyes I see a paradise  
This world that I've found  
Is too good to be true  
Standing here beside you  
Want so much to give you  
This love in my heart that I'm feeling for you  
  
Let 'em say we're crazy, I don't care about that  
Put your hand in my hand baby  
Don't ever look back  
Let the world around us just fall apart  
Baby we can make it if we're heart to heart  
  
And we can build this dream together  
Standing strong forever  
Nothing's gonna stop us now  
And if this world runs out of lovers  
We'll still have each other  
Nothing's gonna stop us, nothing's gonna stop us now  
  
I'm so glad I found you  
I'm not gonna lose you  
Whatever it takes I will stay here with you  
Take it to the good times  
See it through the bad times  
Whatever it takes is what I'm gonna do  
  
Let 'em say we're crazy, what do they know  
Put your arms around me baby  
Don't ever let go  
Let the world around us just fall apart  
Baby we can make it if we're heart to heart  
  
And we can build this dream together  
Standing strong forever  
Nothing's gonna stop us now  
And if this world runs out of lovers  
We'll still have each other  
Nothing's gonna stop us, nothing's gonna stop us  
  
Ooh, all that I need is you  
All that I ever need  
And all that I want to do  
Is hold you forever, ever and ever, hey  
  
And we can build this dream together  
Standing strong forever  
Nothing's gonna stop us now  
And if this world runs out of lovers  
We'll still have each other  
Nothing's gonna stop us  
Nothing's gonna stop us, whoa  
Nothing's gonna stop us now, oh no  
  
Hey baby, I know, hey baby, nothing's gonna stop us  
Hey baby, woo, nothing, hey baby  
Nothing's gonna stop us now yeah

"
